County,Household Units,Businesses,Total
York,"27,884",1496,29380
Wythe,"13,995",677,14672
Wise,"16,637",609,17246
Winchester city,"12,370",1373,13743
Williamsburg city,"5,755",542,6297
Westmoreland,"11,147",316,11463
Waynesboro city,"10,315",603,10918
Washington,"25,432",1136,26568
Warren,"16,765",890,17655
Virginia Beach city,"190,322",11625,201947
Tazewell,"19,809",910,20719
Sussex,"4,644",168,4812
Surry,"3,406",85,3491
Suffolk city,"38,534",1734,40268
Staunton city,"12,317",740,13057
Stafford,"53,004",2509,55513
Spotsylvania,"52,589",2640,55229
Southampton,"7,730",225,7955
Smyth,"15,094",482,15576
Shenandoah,"21,154",887,22041
Scott,"11,762",248,12010
Salem city,"11,126",1003,12129
Russell,"12,753",450,13203
Rockingham,"35,495",1554,37049
Rockbridge,"11,272",439,11711
Roanoke city,"48,749",3104,51853
Roanoke,"42,169",2051,44220
Richmond city,"112,132",6419,118551
Richmond,"3,936",179,4115
Rappahannock,"3,829",200,4029
Radford city,"6,450",291,6741
Pulaski,"16,992",615,17607
Prince William,"158,846",9022,167868
Prince George,"13,390",472,13862
Prince Edward,"9,095",500,9595
Powhatan,"11,648",729,12377
Portsmouth city,"43,152",1620,44772
Poquoson city,"4,930",226,5156
Pittsylvania,"29,374",853,30227
Petersburg city,"18,004",705,18709
Patrick,"9,995",266,10261
Page,"11,762",421,12183
Orange,"15,694",679,16373
Nottoway,"6,642",295,6937
Norton city,"1,936",194,2130
Northumberland,"8,954",304,9258
Northampton,"7,386",304,7690
Norfolk city,"101,505",5395,106900
Newport News city,"81,910",3786,85696
New Kent,"9,102",422,9524
Nelson,"9,876",367,10243
Montgomery,"41,251",1991,43242
Middlesex,"7,106",294,7400
Mecklenburg,"19,023",765,19788
Mathews,"5,454",192,5646
Martinsville city,"7,047",512,7559
Manassas Park city,"5,523",1508,7031
Manassas city,"14,386",334,14720
Madison,"6,064",281,6345
Lynchburg city,"33,885",2240,36125
Lunenburg,"5,869",159,6028
Louisa,"17,555",650,18205
Loudoun,"142,769",11720,154489
Lexington city,"2,617",254,2871
Lee,"10,834",245,11079
Lancaster,"7,451",442,7893
King William,"7,428",120,7548
King George,"10,356",340,10696
King and Queen,"3,459",476,3935
James City,"34,062",1768,35830
Isle of Wight,"16,486",744,17230
Hopewell city,"10,416",411,10827
Highland,"1,790",83,1873
Henry,"25,414",792,26206
Henrico,"141,131",9477,150608
Harrisonburg city,"18,630",1627,20257
Hanover,"43,407",3306,46713
Hampton city,"62,454",2401,64855
Halifax,"17,288",677,17965
Greensville,"4,002",100,4102
Greene,"8,503",373,8876
Grayson,"8,927",166,9093
Goochland,"10,600",699,11299
Gloucester,"17,067",855,17922
Giles,"8,289",285,8574
Galax city,"3,154",304,3458
Fredericksburg city,"12,232",1413,13645
Frederick,"36,005",1607,37612
Franklin city,"3,888",257,4145
Franklin,"28,151",1186,29337
Fluvanna,"11,156",410,11566
Floyd,"7,928",331,8259
Fauquier,"28,283",1917,30200
Falls Church city,"6,253",863,7116
Fairfax city,"9,328",1995,11323
Fairfax,"427,498",31808,459306
Essex,"5,748",297,6045
Emporia city,"2,646",220,2866
Dinwiddie,"11,821",368,12189
Dickenson,"7,343",201,7544
Danville city,"22,242",1222,23464
Cumberland,"4,643",147,4790
Culpeper,"19,246",1078,20324
Craig,"2,585",69,2654
Covington city,"3,052",195,3247
Colonial Heights city,"8,143",642,8785
Clarke,"6,411",376,6787
Chesterfield,"139,428",7838,147266
Chesapeake city,"95,018",5716,100734
Charlottesville city,"21,420",2001,23421
Charlotte,"5,957",213,6170
Charles City,"3,249",155,3404
Carroll,"16,573",408,16981
Caroline,"12,438",406,12844
Campbell,"25,069",1192,26261
Buena Vista city,"2,948",102,3050
Buckingham,"7,145",255,7400
Buchanan,"10,317",347,10664
Brunswick,"7,890",249,8139
Bristol city,"8,665",526,9191
Botetourt,"14,909",768,15677
Bland,"3,205",76,3281
Bedford,"37,253",1770,39023
Bath,"3,239",116,3355
Augusta,"32,670",1440,34110
Arlington,"119,183",6326,125509
Appomattox,"7,317",302,7619
Amherst,"14,237",545,14782
Amelia,"5,717",259,5976
Alleghany,"7,930",238,8168
Alexandria city,"80,440",4565,85005
Albemarle,"47,506",2874,50380
Accomack,"21,713",706,22419