County,SAIFI,FIPS,State
Accomack,0,51001,Virginia
Amelia,2.9,51007,Virginia
Amherst,1.77132,51009,Virginia
Arlington,0,51013,Virginia
Augusta,3.17,51907,Virginia
Bedford,1.77201,51909,Virginia
Botetourt,1.674,51023,Virginia
Bristol,1.30677,51953,Virginia
Brunswick,2.61765,51025,Virginia
Campbell,1.77376,51911,Virginia
Caroline,2.16,51033,Virginia
Carroll,1.674,51913,Virginia
Charles City,0,51036,Virginia
Charlottesville,1.85881,51901,Virginia
Chesapeake,0,51550,Virginia
Chesterfield,2.9,51041,Virginia
Clarke,1.88843,51043,Virginia
Clifton Forge,0,51903,Virginia
Colonial Heights,2.39927,51918,Virginia
Culpeper,2.16,51047,Virginia
Cumberland,3.00669,51049,Virginia
Danville,1.80737,51939,Virginia
Emporia,0,51923,Virginia
Essex,2.16,51057,Virginia
Fairfax,0,51964,Virginia
Fauquier,2.16,51061,Virginia
Floyd,1.674,51063,Virginia
Fluvanna,1.77132,51065,Virginia
Franklin,1.674,51067,Virginia
Frederick,1.64972,51921,Virginia
Giles,1.674,51071,Virginia
Gloucester,0,51073,Virginia
Goochland,2.34481,51075,Virginia
Grayson,1.674,51077,Virginia
Greene,2.04853,51079,Virginia
Halifax,0,51962,Virginia
Hampton,0,51960,Virginia
Hanover,2.16,51085,Virginia
Henrico,0,51087,Virginia
Henry,1.674,51929,Virginia
Hopewell,2.39927,51941,Virginia
Isle of Wight,0,51093,Virginia
James City,0,51931,Virginia
King George,0,51099,Virginia
King William,2.16,51101,Virginia
Lancaster,0,51103,Virginia
Loudoun,0,51107,Virginia
Louisa,2.34481,51109,Virginia
Madison,2.16,51113,Virginia
Manassas,0,51942,Virginia
Mecklenburg,2.61765,51117,Virginia
Nelson,1.72023,51125,Virginia
New Kent,0,51127,Virginia
Norfolk,0,51966,Virginia
Northampton,0,51131,Virginia
Northumberland,0,51133,Virginia
Nottoway,2.9,51135,Virginia
Orange,2.34481,51137,Virginia
Page,1.88843,51139,Virginia
Patrick,1.674,51141,Virginia
Powhatan,2.9,51145,Virginia
Prince Edward,3.00669,51147,Virginia
Pulaski,1.674,51155,Virginia
Radford,1.674,51933,Virginia
Rappahannock,2.16,51157,Virginia
Richmond,0,51159,Virginia
Richmond,0,51760,Virginia
Roanoke,1.65651,51968,Virginia
Rockbridge,1.411,51945,Virginia
Rockingham,1.88843,51947,Virginia
Shenandoah,1.88843,51171,Virginia
Smyth,1.674,51173,Virginia
Southampton,0,51949,Virginia
Spotsylvania,2.16,51951,Virginia
Stafford,2.16,51179,Virginia
Suffolk,0,51800,Virginia
Surry,0,51181,Virginia
Sussex,2.30621,51183,Virginia
Tazewell,1.674,51185,Virginia
Virginia Beach,0,51810,Virginia
Warren,1.88843,51187,Virginia
Westmoreland,0,51193,Virginia
Wise,1.65045,51955,Virginia
Wythe,1.674,51197,Virginia